SchoolID,SchoolTypeID,SchoolName,UpdateTime,HouseCount,BuildingCount,CountyID,DistrictID,Longitude,Latitude
124067,1,二水國小,2012/12/21 14:24:08,0,0,0012,168,120.617534,23.811138
124068,1,源泉國小,2012/12/21 14:24:08,0,0,0012,168,120.642588,23.800446
124069,1,復興國小,2012/12/21 14:24:08,0,0,0012,168,120.605237,23.829781
124070,1,萬興國小,2012/12/21 14:24:08,4,0,0012,165,120.419376,23.95411
124071,1,育德國小,2012/12/21 14:24:08,0,0,0012,165,120.38685,23.874492
124072,1,原斗國小,2012/12/21 14:24:08,3,0,0012,165,120.426879,23.895796
124073,1,二林國小,2012/12/21 14:24:08,33,0,0012,165,120.371779,23.900386
124074,1,中興國小,2012/12/21 14:24:08,7,0,0012,165,120.442734,23.947852

